review_count,state,full_address,type,city,open,neighborhoods,stars,name,business_id,categories,longitude,latitude
3,AZ,"8466 W Peoria AveSte 6Peoria, AZ 85345",business,Peoria,true,,5.0,Peoria Income Tax Service,rncjoVoEFUJGCUoC1JgnUA,"Accountants,Professional Services,Tax Services,Financial Services",-112.241596,33.581867
5,AZ,"2149 W Wood DrPhoenix, AZ 85029",business,Phoenix,true,,5.0,Bike Doctor,0FNFSzCFP_rGUoJx8W7tJg,"Sporting Goods,Bikes,Shopping",-112.105933,33.604054
4,AZ,"1134 N Central AvePhoenix, AZ 85004",business,Phoenix,true,,5.0,Valley Permaculture Alliance,3f_lyB6vFK48ukH6ScvLHg,,-112.0739333,33.4605258
5,AZ,"845 W Southern AvePhoenix, AZ 85041",business,Phoenix,true,,3.5,Food City,usAsSV36QmUej8--yvN-dg,"Food,Grocery",-112.0853773,33.3922099
14,AZ,"6520 W Happy Valley RdSte 101Glendale Az, AZ 85310",business,Glendale Az,true,,3.5,Hot Bagels & Deli,PzOqRohWw7F7YEPBz6AubA,"Food,Bagels,Delis,Restaurants",-112.200264,33.712797
6,CA,"The Americana at Brand869 Americana WayGlendale, CA 91210",business,Glendale,true,,4.5,Barney's New York Co-op,gtQzAiy7D-dPU8WzT3jX3Q,"Women's Clothing,Fashion,Shopping",-112.481632232666,33.6077660588006
21,AZ,"1850 W Camelback RdSte 1Phoenix, AZ 85015",business,Phoenix,true,,3.5,Zia Record Exchange,FrBCYtCS_jydDjg1KsIgWQ,"Music & DVDs,Books, Mags, Music & Video,Vinyl Records,Shopping",-112.0987501,33.5096582
4,AZ,"3415 W Northern AvePhoenix, AZ 85051",business,Phoenix,true,,5.0,Reflections Bingo,yaXAD-Mv2K2PEZobmqjIYA,"Event Planning & Services,Venues & Event Spaces",-112.132866,33.551903
14,AZ,"6938 E 1st StScottsdale, AZ 85251",business,Scottsdale,true,,5.0,Jam,o3ehs4ZEdsizbJyB9_j7uQ,"Art Schools,Specialty Schools,Shopping,Jewelry,Accessories,Fashion,Education",-111.9312992,33.492195
10,AZ,"891 E Baseline RdSuite 102Gilbert, AZ 85233",business,Gilbert,true,,3.5,Jersey Mike's Subs,qarobAbxGSHI7ygf1f7a_Q,"Sandwiches,Restaurants",-111.8120071,33.3788385
4,AZ,"8860 E Chaparral RdSte 100Scottsdale, AZ 85250",business,Scottsdale,true,,4.5,Fender Musical Instruments Corporation,C1xciP65n4t4R1Q4h1zOHw,"Music & DVDs,Books, Mags, Music & Video,Musical Instruments & Teachers,Shopping",-111.8887889,33.5135194
5,AZ,"519 W Thomas RdPhoenix, AZ 85013",business,Phoenix,true,,4.0,La Paloma Mexican Food,gA5CuBxF-0CnOpGnryWJdQ,"Mexican,Restaurants",-112.0813612,33.480105
3,AZ,"2075 N Pebble Creek PkwyGoodyear, AZ 85395",business,Goodyear,true,,3.0,Basha's,acaBJcFEKPmmSDIO6c-ZGQ,"Food,Grocery",-112.3920218,33.468815
55,AZ,"14418 N Scottsdale RdSuite 181Scottsdale, AZ 85254",business,Scottsdale,true,,4.0,Sauce,JxVGJ9Nly2FFIs_WpJvkug,"Pizza,Restaurants",-111.926272,33.6174589
7,AZ,"3535 W Chandler BlvdChandler, AZ 85226",business,Chandler,true,,4.5,Windmill Inns & Suites,9iLiMm3Z9nepRDu1AhgEoQ,"Hotels & Travel,Event Planning & Services,Hotels",-111.9032256,33.3054266
11,AZ,"4500 E Cactus RdPhoenix, AZ 85032",business,Phoenix,true,,4.0,Macy's,G2Re2E5Jkv_UF1xrenSsDg,"Department Stores,Fashion,Shopping",-111.9820907,33.5993236
12,AZ,"7501 S McAllister AveTempe, AZ 85283",business,Tempe,true,,5.0,Clearly Professional Window Cleaning,8lTdJA9GK59-NzJwleSJBQ,"Window Washing,Home Services",-111.931256,33.3503
23,AZ,"8941 N Black Canyon HwyPhoenix, AZ 85021",business,Phoenix,true,,4.0,Fuddruckers,Jj7bcQ6NDfKoz4TXwvYfMg,"Burgers,Restaurants",-112.116243,33.566989
15,AZ,"7131 W Ray RdSuite 14Chandler, AZ 85226",business,Chandler,true,,4.0,Sur La Table,OMXAkiWyKz0AM6PwwuP38Q,"Kitchen & Bath,Shopping,Home & Garden",-111.964138,33.317906
